"color id","color name"
1,"Alizarin Crimson"
2,"Blush"
3,"Cadmium Red Medium"
4,"Permanent Orange"
5,"Yellow Ochre"
6,"Hansa Yellow Medium"
7,"Titanium Buff"
8,"Cadmium Green"
9,"Turquoise"
10,"Ultramarine Blue"
11,"Dioxazine Purple"
12,"Burnt Umber"
13,"Van Dyke Brown"
14,"Mars Black"
15,"Neutral Grey"
16,"Titanium White"
17,"Flake White"
18,"Permanent Yellow Light"
19,"Jaune Brilliant"
20,"Cadmium Red Vermilion"
21,"Sevres Blue"
22,"Veronese Green"
23,"Raw Sienna"
24,"Spanish Earth"
25,"Cold Black"
26,"Muted Grey"
27,"Muted Green"
28,"Muted Pink"
29,"Muted Turquoise"
30,"Muted Violet"
31,"Quinacridone Violet"
32,"Venetian Red"
33,"Quinacridone Magenta"
34,"Transparent Red"
35,"Cadmium Red Light"
36,"Quinacridone Red"
37,"Napthol Red"
38,"Burnt Sienna"
39,"Indian Yellow"
40,"Cadmium Orange"
41,"Transparent Yellow"
42,"Cadmium Yellow Medium"
43,"Naples Yellow Hue"
44,"Cadmium Yellow Light"
45,"Hansa Yellow Light"
46,"Permanent Green Light"
47,"Chromium Oxide Green"
48,"Olive Green"
49,"Sap Green"
50,"Phthalo Green"
51,"Paynes Grey"
52,"Viridian"
53,"Cobalt Blue"
54,"Cerulean Blue"
55,"Phthalo Blue"
56,"Prussian Blue"
57,"Ultramarine Violet"
58,"Cobalt Violet"
59,"Raw Umber"
60,"Ivory Black"
61,"Transparent White"
62,"Permanent White"
63,"Primary Yellow"
64,"Cadmium Yellow Orange"
65,"Pure Red"
66,"Ultramarine Blue Deep"
67,"Emerald Green"
68,"Black"
69,"Lemon"
70,"Lime"
71,"Orange"
72,"Raspberry"
73,"Stone"
74,"Wine"
75,"Chinese White"
76,"Primary White"
77,"Ivory White"
78,"Pale Peach"
79,"Cream Yellow"
80,"Luminous Lemon"
81,"Lemon Yellow"
82,"Mustard"
83,"Naples Yellow"
84,"Light Yellow"
85,"Yellow"
86,"Deep Yellow"
87,"Orange Yellow"
88,"Gold"
89,"Coral Red"
90,"Luminous Orange"
91,"Vermilion"
92,"Scarlet"
93,"Carmine"
94,"Light Red Bright"
95,"Crimson"
96,"Wine Red"
97,"Luminous Red"
98,"Pale Pink"
99,"Shell Pink"
100,"Light Magenta"
101,"Pink"
102,"Cosmos Pink"
103,"Rose"
104,"Opera"
105,"Rose Violet"
106,"Magenta"
107,"Primary Magenta"
108,"Red Violet"
109,"Pale Lilac"
110,"Pale Lavender"
111,"Lilac"
112,"Violet"
113,"Deep Magenta"
114,"Deep Violet"
115,"Blue Violet"
116,"Navy Blue"
117,"Sky Blue"
118,"Primary Cyan"
119,"Ash Blue"
120,"Smalt Blue"
121,"Light Blue"
122,"Horizon Blue"
123,"Aqua Blue"
124,"Pale Aqua"
125,"Misty Blue"
126,"Turquoise Blue"
127,"Peacock Blue"
128,"Green"
129,"Blue Green"
130,"Ash Green"
131,"Ice Green"
132,"Grass Green"
133,"Cobalt Green"
134,"Pale Mint"
135,"Mint Green"
136,"Light Green"
137,"Luminous Green"
138,"Deep Green"
139,"Olive"
140,"Leaf Green"
141,"Pale Lime"
142,"Misty Green"
143,"Flesh"
144,"Beige"
145,"Bronze"
146,"Pale Gold"
147,"Ash Yellow"
148,"Sepia"
149,"Neutral Gray 1"
150,"Neutral Gray 2"
151,"Neutral Gray 3"
152,"Neutral Gray 4"
153,"Silver"
154,"Lamp Black"
155,"Primary Black"
156,"Jet Black"
157,"Metallic White"
158,"Metallic Yellow"
159,"Metallic Red"
160,"Metallic Violet"
161,"Metallic Blue"
162,"Metallic Green"
163,"Cadmium Lemon"
164,"Cadmium Yellow Pale"
165,"Spectrum Yellow"
166,"Brilliant Yellow"
167,"Cadmium Yellow"
168,"Permanent Yellow Deep"
169,"Cadmium Yellow Deep"
170,"Marigold Yellow"
171,"Orange Lake Light"
172,"Orange Lake Deep"
173,"Cadmium Scarlet"
174,"Flame Red"
175,"Cadmium Red"
176,"Spectrum Red"
177,"Red Ochre"
178,"Flesh Tint"
